ID,date,Country,Region,District,Latitude,Longitude,Species,Sequencing_date
Z0083204,17/08/2021,Kenya,Makueni,Kibwezi East,-2.410524,37.967847,Domestic dog,08-Dec-21
Z0083233,24/09/2021,Kenya ,Makueni,Kibwezi East,-2.410524,37.967847,Domestic dog,06-Dec-21
Z0829343,12/04/2022,Kenya,Kibwezi East,Nzalubani,-2.5938617,38.0650083,Caprine,14-Sep-22
LN001,10/03/2021,NTz,Lindi,Ruangwa,-10.04001,38.555999,Domestic dog,10-Mar-22
NAC1014,14/08/2022,NTz,Lindi,Nachingwea,-10.33562,38.692707,Domestic Dog,23-Nov-22
NAC1018,15/04/2022,NTz,Lindi,Nachingwea,-10.212662,38.760241,Jackal,23-Nov-22
NAC1017,24/03/2022,NTz,Lindi,Nachingwea,-10.309751,38.776601,Jackal,23-Nov-22
NAC1025,14/08/2022,NTz,Lindi,Nachingwea,-10.413398,38.777494,Domestic dog,23-Nov-22
MAS1016,16/03/2022,NTz,Morogoro ,Masasi,-10.801285,38.895829,Jackal,23-Nov-22
LN004,21/06/2018,NTz,Lindi,Mtama,-10.300802,39.364712,Domestic dog,10-Mar-22
LN006,20/07/2021,NTz,Lindi,Mtama,-10.300802,39.364712,Domestic dog,10-Mar-22
LN003,05/11/2021,NTz,Lindi,Mtama,-10.300802,39.364712,Fox,10-Mar-22
LN002,16/11/2021,NTz,Lindi,Mtama,-10.300802,39.364712,Fox,10-Mar-22
LN007,06/12/2021,NTz,Lindi,Mtama,-10.300802,39.364712,Domestic dog,10-Mar-22
MT001,21/11/2020,NTz,Mtwara,Tandahimba,-10.738551,39.569184,Domestic dog,10-Mar-22
MT004,10/03/2022,NTz,Mtwara,Tandahimba,-10.738551,39.569184,Jackal,10-Mar-22
MT005,10/03/2022,NTz,Mtwara,Tandahimba,-10.738551,39.569184,Jackal,10-Mar-22
TAN1019,11/04/2022,NTz,Lindi,Tandahimba,-10.789479,39.888254,Jackal,23-Nov-22
MT006,22/06/2018,NTz,Mtwara,Rural,-10.311224,40.175981,Domestic dog,14-Apr-21
SD734,19/11/2018,NTz,Mara,Serengeti ,-1.828115,34.708036,Domestic dog,14-Nov-21
SD764,14/11/2021,NTz,Mara,Serengeti ,,,,14-Nov-21
